timestamp,balance,open_trades,pending_trades
2026-04-14T12:23:00+00:00,1000.0,0,0
2026-04-14T12:23:20+00:00,1000.0,0,0
2026-04-14T12:23:40+00:00,1000.0,0,0
2026-04-14T12:24:00+00:00,1000.0,0,0
2026-04-14T12:24:20+00:00,1000.0,0,0
2026-04-14T12:24:40+00:00,1000.0,0,0
2026-04-14T12:25:00+00:00,1000.0,0,0
2026-04-14T12:25:20+00:00,1000.0,0,0
2026-04-14T12:25:40+00:00,1000.0,0,0
2026-04-14T12:26:00+00:00,1000.0,0,0
2026-04-14T12:26:20+00:00,1000.0,0,0
2026-04-14T12:26:40+00:00,1000.0,0,0
2026-04-14T12:27:00+00:00,1000.0,0,0
2026-04-14T12:27:20+00:00,1000.0,0,0
2026-04-14T12:27:40+00:00,1000.0,0,0
2026-04-14T12:28:00+00:00,1000.0,0,0
2026-04-14T12:28:20+00:00,1000.0,0,0
2026-04-14T12:28:40+00:00,1000.0,0,0
2026-04-14T12:29:00+00:00,1000.0,0,0
2026-04-14T12:29:20+00:00,1000.0,0,0
2026-04-14T12:29:40+00:00,1000.0,0,0
2026-04-14T12:30:00+00:00,1000.0,0,0
2026-04-14T12:30:20+00:00,1000.0,0,0
2026-04-14T12:30:40+00:00,1000.0,0,0
2026-04-14T12:31:00+00:00,1000.0,0,0
2026-04-14T12:31:20+00:00,1000.0,0,0
2026-04-14T12:31:40+00:00,1000.0,0,0
2026-04-14T12:32:00+00:00,1000.0,0,0
2026-04-14T12:32:20+00:00,1000.0,0,0
2026-04-14T12:32:40+00:00,1000.0,0,0
2026-04-14T12:33:00+00:00,1000.0,0,0
2026-04-14T12:33:20+00:00,1000.0,0,0
2026-04-14T12:33:40+00:00,1000.0,0,0
2026-04-14T12:34:00+00:00,1000.0,0,0
2026-04-14T12:34:20+00:00,1000.0,0,0
2026-04-14T12:34:40+00:00,1000.0,0,0
2026-04-14T12:35:00+00:00,1000.0,0,0
2026-04-14T12:35:20+00:00,1000.0,0,0
2026-04-14T12:35:40+00:00,1000.0,0,0
2026-04-14T12:36:00+00:00,1000.0,0,0
2026-04-14T12:36:20+00:00,1000.0,0,0
2026-04-14T12:36:40+00:00,1000.0,0,0
2026-04-14T12:37:00+00:00,1000.0,0,0
2026-04-14T12:37:20+00:00,1000.0,0,0
2026-04-14T12:37:40+00:00,1000.0,0,0
2026-04-14T12:38:00+00:00,1000.0,0,0
2026-04-14T12:38:20+00:00,1000.0,0,0
2026-04-14T12:38:40+00:00,1000.0,0,0
2026-04-14T12:39:00+00:00,1000.0,0,0
2026-04-14T12:39:20+00:00,1000.0,0,0
2026-04-14T12:39:40+00:00,1000.0,0,0
2026-04-14T12:40:00+00:00,1000.0,0,0
2026-04-14T12:40:20+00:00,1000.0,0,0
2026-04-14T12:40:40+00:00,1000.0,0,0
2026-04-14T12:41:00+00:00,1000.0,0,0
2026-04-14T12:41:20+00:00,1000.0,0,0
2026-04-14T12:41:40+00:00,1000.0,0,0
2026-04-14T12:42:00+00:00,1000.0,0,0
2026-04-14T12:42:20+00:00,1000.0,0,0
2026-04-14T12:42:40+00:00,1000.0,0,0
2026-04-14T12:43:00+00:00,1000.0,0,0
2026-04-14T12:43:20+00:00,1000.0,0,0
2026-04-14T12:43:40+00:00,1000.0,0,0
2026-04-14T12:44:00+00:00,1000.0,0,0
2026-04-14T12:44:20+00:00,1000.0,0,0
2026-04-14T12:44:40+00:00,1000.0,0,0
2026-04-14T12:45:00+00:00,1000.0,0,0
2026-04-14T12:45:20+00:00,1000.0,0,0
2026-04-14T12:45:40+00:00,1000.0,0,0
2026-04-14T12:46:00+00:00,1000.0,0,0
2026-04-14T12:46:20+00:00,1000.0,0,0
2026-04-14T12:46:40+00:00,1000.0,0,0
2026-04-14T12:47:00+00:00,1000.0,0,0
2026-04-14T12:47:20+00:00,1000.0,0,0
2026-04-14T12:47:40+00:00,1000.0,0,0
2026-04-14T12:48:00+00:00,1000.0,0,0
2026-04-14T12:48:20+00:00,1000.0,0,0
2026-04-14T12:48:40+00:00,1000.0,0,0
2026-04-14T12:49:00+00:00,1000.0,0,0
2026-04-14T12:49:20+00:00,1000.0,0,0
2026-04-14T12:49:40+00:00,1000.0,0,0
2026-04-14T12:50:00+00:00,1000.0,0,0
2026-04-14T12:50:20+00:00,1000.0,0,0
2026-04-14T12:50:40+00:00,1000.0,0,0
2026-04-14T12:51:00+00:00,1000.0,0,0
2026-04-14T12:51:20+00:00,1000.0,0,0
2026-04-14T12:51:40+00:00,1000.0,0,0
2026-04-14T12:52:00+00:00,1000.0,0,0
2026-04-14T12:52:20+00:00,1000.0,0,0
2026-04-14T12:52:40+00:00,1000.0,0,0
2026-04-14T12:53:00+00:00,1000.0,0,0
2026-04-14T12:53:20+00:00,1000.0,0,0
2026-04-14T12:53:40+00:00,1000.0,0,0
2026-04-14T12:54:00+00:00,1000.0,0,0
2026-04-14T12:54:20+00:00,1000.0,0,0
2026-04-14T12:54:40+00:00,1000.0,0,0
2026-04-14T12:55:00+00:00,1000.0,0,0
2026-04-14T12:55:20+00:00,1000.0,0,0
2026-04-14T12:55:40+00:00,1000.0,0,0
2026-04-14T12:56:00+00:00,1000.0,0,0
2026-04-14T12:56:20+00:00,1000.0,0,0
2026-04-14T12:56:40+00:00,1000.0,0,0
2026-04-14T12:57:00+00:00,1000.0,0,0
2026-04-14T12:57:20+00:00,1000.0,0,0
2026-04-14T12:57:40+00:00,1000.0,0,0
2026-04-14T12:58:00+00:00,1000.0,0,0
2026-04-14T12:58:20+00:00,1000.0,0,0
2026-04-14T12:58:40+00:00,1000.0,0,0
2026-04-14T12:59:00+00:00,1000.0,0,0
2026-04-14T12:59:20+00:00,1000.0,0,0
2026-04-14T12:59:40+00:00,1000.0,0,0
2026-04-14T13:00:00+00:00,1000.0,0,0
2026-04-14T13:00:20+00:00,1000.0,0,0
2026-04-14T13:00:40+00:00,1000.0,0,0
2026-04-14T13:01:00+00:00,1000.0,0,0
2026-04-14T13:01:20+00:00,1000.0,0,0
2026-04-14T13:01:40+00:00,1000.0,0,0
2026-04-14T13:02:00+00:00,1000.0,0,0
2026-04-14T13:02:20+00:00,1000.0,0,0
2026-04-14T13:02:40+00:00,1000.0,0,0
2026-04-14T13:03:00+00:00,1000.0,0,0
2026-04-14T13:03:20+00:00,1000.0,0,0
2026-04-14T13:03:40+00:00,1000.0,0,0
2026-04-14T13:04:00+00:00,1000.0,0,0
2026-04-14T13:04:20+00:00,1000.0,0,0
2026-04-14T13:04:40+00:00,1000.0,0,0
2026-04-14T13:05:00+00:00,1000.0,0,0
2026-04-14T13:05:20+00:00,1000.0,0,0
2026-04-14T13:05:40+00:00,1000.0,0,0
2026-04-14T13:06:00+00:00,1000.0,0,0
2026-04-14T13:06:20+00:00,1000.0,0,0
2026-04-14T13:06:40+00:00,1000.0,0,0
2026-04-14T13:07:00+00:00,1000.0,0,0
2026-04-14T13:07:20+00:00,1000.0,0,0
2026-04-14T13:07:40+00:00,1000.0,0,0
2026-04-14T13:08:00+00:00,1000.0,0,0
2026-04-14T13:08:20+00:00,1000.0,0,0
2026-04-14T13:08:40+00:00,1000.0,0,0
2026-04-14T13:09:00+00:00,1000.0,0,0
2026-04-14T13:09:20+00:00,1000.0,0,0
2026-04-14T13:09:40+00:00,1000.0,0,0
2026-04-14T13:10:00+00:00,1000.0,0,0
2026-04-14T13:10:20+00:00,1000.0,0,0
2026-04-14T13:10:40+00:00,1000.0,0,0
2026-04-14T13:11:00+00:00,1000.0,0,0
2026-04-14T13:11:20+00:00,1000.0,0,0
2026-04-14T13:11:40+00:00,1000.0,0,0
