timestamp,symbol,direction,entry_price,exit_price,size,pnl,fee,exit_reason,balance_after,score,stretch,context_rsi,zscore,mfe,mae,peak_progress,hold_minutes
2026-04-14T13:21:20+00:00,SOL/USDT:USDT,SHORT,86.28,86.22686428571429,2.318,-0.07682845428571018,0.19999704000000001,SL,999.9231715457142,0.6832500372861157,0.004575671907393349,55.77889447236193,0.657267381804554,0.09999999999999432,0.0,0.576131687242791,2.0
2026-04-14T13:21:20+00:00,SOL/USDT:USDT,SHORT,86.28,86.22686428571429,2.318,-0.07682845428571018,0.19999704000000001,SL,999.8463430914285,0.6832500372861157,0.004575671907393349,55.77889447236193,0.657267381804554,0.09999999999999432,0.0,0.576131687242791,2.0
2026-04-14T13:21:20+00:00,SOL/USDT:USDT,SHORT,86.28,86.22686428571429,2.318,-0.07682845428571018,0.19999704000000001,SL,999.7695146371427,0.6832500372861157,0.004575671907393349,55.77889447236193,0.657267381804554,0.09999999999999432,0.0,0.576131687242791,2.0
2026-04-14T15:10:20+00:00,SOL/USDT:USDT,LONG,85.44,85.53365714285714,2.341,0.019236331428564235,0.20001504,SL,999.7887509685713,0.6235793962298025,-0.01434635090265732,45.61797752808992,-0.6190644663678871,0.10000000000000853,0.06999999999999318,0.3657537453183787,2.0
2026-04-14T15:10:20+00:00,SOL/USDT:USDT,LONG,85.44,85.53365714285714,2.341,0.019236331428564235,0.20001504,SL,999.8079872999999,0.6235793962298025,-0.01434635090265732,45.61797752808992,-0.6190644663678871,0.10000000000000853,0.06999999999999318,0.3657537453183787,2.0
2026-04-14T15:10:20+00:00,SOL/USDT:USDT,LONG,85.44,85.53365714285714,2.341,0.019236331428564235,0.20001504,SL,999.8272236314285,0.6235793962298025,-0.01434635090265732,45.61797752808992,-0.6190644663678871,0.10000000000000853,0.06999999999999318,0.3657537453183787,2.0
2026-04-14T16:55:20+00:00,SOL/USDT:USDT,LONG,84.89,84.92308571428572,2.356,-0.12205089714284748,0.20000083999999999,SL,999.7051727342857,0.7220941009066103,-0.008713693251206335,39.655172413793125,-0.6452179589020894,0.060000000000002274,0.18999999999999773,0.241796200345437,2.0
2026-04-14T16:55:20+00:00,SOL/USDT:USDT,LONG,84.89,84.92308571428572,2.356,-0.12205089714284748,0.20000083999999999,SL,999.5831218371429,0.7220941009066103,-0.008713693251206335,39.655172413793125,-0.6452179589020894,0.060000000000002274,0.18999999999999773,0.241796200345437,2.0
2026-04-14T16:55:20+00:00,SOL/USDT:USDT,LONG,84.89,84.92308571428572,2.356,-0.12205089714284748,0.20000083999999999,SL,999.4610709400001,0.7220941009066103,-0.008713693251206335,39.655172413793125,-0.6452179589020894,0.060000000000002274,0.18999999999999773,0.241796200345437,2.0
2026-04-15T02:39:20+00:00,SOL/USDT:USDT,LONG,83.13,83.19834285714285,2.406,-0.035577865714297746,0.20001078000000003,SL,999.4254930742858,0.733440860215053,-0.005789982443676658,38.17204301075284,-0.7624119282383344,0.10999999999999943,0.0,0.7129629629629323,2.0
