timestamp,open,high,low,close,volume
1759276800000,2.8453,2.8506,2.8450,2.8468,2773650.7
1759277700000,2.8468,2.8468,2.8368,2.8373,3269290.4
1759278600000,2.8373,2.8388,2.8292,2.8306,4155047.2
1759279500000,2.8305,2.8390,2.8268,2.8373,3597005.2
1759280400000,2.8372,2.8444,2.8350,2.8432,2507968.9
1759281300000,2.8431,2.8457,2.8357,2.8447,3480447.9
1759282200000,2.8447,2.8498,2.8351,2.8475,2447526.5
1759283100000,2.8476,2.8588,2.8458,2.8570,7198370.5
1759284000000,2.8571,2.8575,2.8473,2.8478,4037064.8
1759284900000,2.8479,2.8505,2.8463,2.8474,1318152.2
1759285800000,2.8474,2.8477,2.8391,2.8398,2703496.8
1759286700000,2.8397,2.8424,2.8390,2.8408,1393763.6
1759287600000,2.8408,2.8415,2.8368,2.8375,1835885.1
1759288500000,2.8375,2.8376,2.8238,2.8253,8060104.3
1759289400000,2.8254,2.8288,2.8209,2.8214,2745297.6
1759290300000,2.8213,2.8213,2.8126,2.8177,6136844.1
1759291200000,2.8178,2.8362,2.8149,2.8285,7637063.0
1759292100000,2.8285,2.8385,2.8282,2.8366,4514686.9
1759293000000,2.8367,2.8443,2.8359,2.8383,5375750.0
1759293900000,2.8383,2.8439,2.8326,2.8351,4666491.5
1759294800000,2.8351,2.8533,2.8335,2.8486,5426522.7
1759295700000,2.8486,2.8500,2.8392,2.8430,3114470.8
1759296600000,2.8430,2.8500,2.8404,2.8444,2612160.0
1759297500000,2.8443,2.8476,2.8425,2.8443,1540002.5
1759298400000,2.8442,2.8484,2.8419,2.8430,2978015.9
1759299300000,2.8430,2.8456,2.8333,2.8388,2784560.8
1759300200000,2.8388,2.8446,2.8369,2.8409,2102935.0
1759301100000,2.8410,2.8413,2.8295,2.8307,3572588.8
1759302000000,2.8306,2.8383,2.8297,2.8375,2080897.2
1759302900000,2.8375,2.8440,2.8372,2.8426,2190764.9
1759303800000,2.8426,2.8563,2.8420,2.8535,8865826.8
1759304700000,2.8536,2.8552,2.8501,2.8526,1615620.8
1759305600000,2.8526,2.8626,2.8505,2.8607,4892133.4
1759306500000,2.8608,2.8706,2.8576,2.8702,7815333.7
1759307400000,2.8703,2.9048,2.8702,2.9034,19715983.7
1759308300000,2.9033,2.9200,2.8995,2.9159,26638679.0
1759309200000,2.9159,2.9189,2.9061,2.9133,11826960.1
1759310100000,2.9132,2.9298,2.9130,2.9274,15089204.7
1759311000000,2.9275,2.9404,2.9232,2.9400,14722302.3
1759311900000,2.9400,2.9512,2.9373,2.9402,16796887.4
