timestamp,open,high,low,close,volume
1759276800000,2.8453,2.8502,2.8450,2.8502,1345737.7
1759277100000,2.8502,2.8506,2.8469,2.8498,820458.4
1759277400000,2.8498,2.8504,2.8454,2.8468,607454.6
1759277700000,2.8468,2.8468,2.8425,2.8439,766765.5
1759278000000,2.8439,2.8444,2.8395,2.8405,1459556.9
1759278300000,2.8405,2.8411,2.8368,2.8373,1042968.0
1759278600000,2.8373,2.8388,2.8349,2.8381,1570938.5
1759278900000,2.8380,2.8384,2.8332,2.8340,894730.9
1759279200000,2.8340,2.8340,2.8292,2.8306,1689377.8
1759279500000,2.8305,2.8308,2.8268,2.8282,1736508.6
1759279800000,2.8282,2.8377,2.8282,2.8372,1296679.3
1759280100000,2.8372,2.8390,2.8356,2.8373,563817.3
1759280400000,2.8372,2.8375,2.8350,2.8371,699110.2
1759280700000,2.8371,2.8421,2.8368,2.8420,877246.0
1759281000000,2.8421,2.8444,2.8413,2.8432,931612.7
1759281300000,2.8431,2.8450,2.8375,2.8384,1656567.9
1759281600000,2.8385,2.8434,2.8357,2.8431,918710.6
1759281900000,2.8431,2.8457,2.8417,2.8447,905169.4
1759282200000,2.8447,2.8454,2.8357,2.8362,564062.2
1759282500000,2.8362,2.8427,2.8351,2.8427,445877.7
1759282800000,2.8426,2.8498,2.8422,2.8475,1437586.6
1759283100000,2.8476,2.8518,2.8476,2.8504,1623465.8
1759283400000,2.8504,2.8551,2.8458,2.8551,3504179.6
1759283700000,2.8551,2.8588,2.8550,2.8570,2070725.1
1759284000000,2.8571,2.8575,2.8507,2.8544,2114285.2
1759284300000,2.8545,2.8558,2.8510,2.8516,792715.7
1759284600000,2.8516,2.8520,2.8473,2.8478,1130063.9
1759284900000,2.8479,2.8505,2.8471,2.8496,549100.8
1759285200000,2.8495,2.8495,2.8466,2.8482,378854.9
1759285500000,2.8481,2.8485,2.8463,2.8474,390196.5
1759285800000,2.8474,2.8477,2.8400,2.8415,1287085.8
1759286100000,2.8416,2.8443,2.8406,2.8434,498974.3
1759286400000,2.8433,2.8433,2.8391,2.8398,917436.7
1759286700000,2.8397,2.8424,2.8390,2.8410,521518.1
1759287000000,2.8410,2.8424,2.8391,2.8411,478728.1
1759287300000,2.8411,2.8418,2.8392,2.8408,393517.4
1759287600000,2.8408,2.8415,2.8376,2.8376,798215.2
1759287900000,2.8375,2.8397,2.8373,2.8378,506900.4
1759288200000,2.8378,2.8397,2.8368,2.8375,530769.5
1759288500000,2.8375,2.8376,2.8259,2.8271,4211117.9
1759288800000,2.8271,2.8305,2.8238,2.8277,1709058.2
1759289100000,2.8277,2.8304,2.8253,2.8253,2139928.2
1759289400000,2.8254,2.8270,2.8234,2.8263,1174285.2
1759289700000,2.8262,2.8288,2.8252,2.8261,678980.5
1759290000000,2.8261,2.8262,2.8209,2.8214,892031.9
1759290300000,2.8213,2.8213,2.8141,2.8146,2773085.9
1759290600000,2.8146,2.8161,2.8126,2.8153,1842297.6
1759290900000,2.8152,2.8204,2.8146,2.8177,1521460.6
1759291200000,2.8178,2.8277,2.8149,2.8238,3495355.6
1759291500000,2.8239,2.8362,2.8238,2.8315,2863776.3
1759291800000,2.8314,2.8323,2.8282,2.8285,1277931.1
1759292100000,2.8285,2.8355,2.8282,2.8355,1227286.1
1759292400000,2.8355,2.8385,2.8306,2.8371,2220669.5
1759292700000,2.8370,2.8376,2.8329,2.8366,1066731.3
1759293000000,2.8367,2.8443,2.8359,2.8369,2990791.2
1759293300000,2.8369,2.8432,2.8363,2.8372,1539140.2
1759293600000,2.8373,2.8409,2.8362,2.8383,845818.6
1759293900000,2.8383,2.8439,2.8376,2.8419,1769680.1
1759294200000,2.8419,2.8419,2.8326,2.8347,1880460.1
1759294500000,2.8347,2.8357,2.8330,2.8351,1016351.3
1759294800000,2.8351,2.8386,2.8335,2.8380,1403782.7
1759295100000,2.8380,2.8477,2.8375,2.8460,1766637.4
1759295400000,2.8460,2.8533,2.8450,2.8486,2256102.6
1759295700000,2.8486,2.8500,2.8439,2.8480,1070545.5
1759296000000,2.8480,2.8487,2.8395,2.8418,1301250.4
1759296300000,2.8418,2.8438,2.8392,2.8430,742674.9
1759296600000,2.8430,2.8488,2.8404,2.8487,847521.7
1759296900000,2.8487,2.8500,2.8463,2.8478,756882.1
1759297200000,2.8478,2.8489,2.8419,2.8444,1007756.2
1759297500000,2.8443,2.8468,2.8425,2.8465,489738.0
1759297800000,2.8466,2.8474,2.8436,2.8464,459728.8
1759298100000,2.8463,2.8476,2.8434,2.8443,590535.7
1759298400000,2.8442,2.8480,2.8427,2.8472,1301305.6
1759298700000,2.8473,2.8484,2.8419,2.8447,1099428.3
1759299000000,2.8447,2.8452,2.8422,2.8430,577282.0
1759299300000,2.8430,2.8456,2.8396,2.8401,657527.8
1759299600000,2.8401,2.8413,2.8333,2.8410,1413348.2
1759299900000,2.8409,2.8422,2.8375,2.8388,713684.8
1759300200000,2.8388,2.8407,2.8371,2.8388,586503.3
1759300500000,2.8389,2.8410,2.8369,2.8404,611404.6
1759300800000,2.8404,2.8446,2.8391,2.8409,905027.1
1759301100000,2.8410,2.8413,2.8303,2.8342,1681846.9
1759301400000,2.8342,2.8342,2.8301,2.8304,1038729.3
1759301700000,2.8304,2.8322,2.8295,2.8307,852012.6
1759302000000,2.8306,2.8352,2.8297,2.8335,913961.4
1759302300000,2.8336,2.8360,2.8321,2.8355,614909.9
1759302600000,2.8355,2.8383,2.8348,2.8375,552025.9
1759302900000,2.8375,2.8440,2.8374,2.8399,1083314.4
1759303200000,2.8399,2.8408,2.8372,2.8392,591126.9
1759303500000,2.8392,2.8438,2.8391,2.8426,516323.6
1759303800000,2.8426,2.8563,2.8420,2.8529,6682044.8
1759304100000,2.8529,2.8537,2.8481,2.8482,917196.8
1759304400000,2.8482,2.8555,2.8477,2.8535,1266585.2
1759304700000,2.8536,2.8549,2.8501,2.8526,578359.1
1759305000000,2.8526,2.8550,2.8517,2.8533,588655.4
1759305300000,2.8534,2.8552,2.8525,2.8526,448606.3
1759305600000,2.8526,2.8550,2.8505,2.8539,805625.8
1759305900000,2.8539,2.8626,2.8533,2.8585,2514797.2
1759306200000,2.8586,2.8615,2.8568,2.8607,1571710.4
1759306500000,2.8608,2.8639,2.8576,2.8632,1668818.3
1759306800000,2.8632,2.8677,2.8576,2.8594,3325147.7
1759307100000,2.8594,2.8706,2.8578,2.8702,2821367.7
1759307400000,2.8703,2.8850,2.8702,2.8845,7626657.6
1759307700000,2.8845,2.8940,2.8828,2.8928,4954608.2
1759308000000,2.8928,2.9048,2.8902,2.9034,7134717.9
1759308300000,2.9033,2.9092,2.8995,2.9091,5560443.4
1759308600000,2.9091,2.9200,2.9069,2.9119,15961404.4
1759308900000,2.9118,2.9177,2.9097,2.9159,5116831.2
1759309200000,2.9159,2.9189,2.9071,2.9095,5612652.9
1759309500000,2.9096,2.9144,2.9061,2.9131,3146270.1
1759309800000,2.9131,2.9160,2.9083,2.9133,3068037.1
1759310100000,2.9132,2.9246,2.9130,2.9196,5964162.2
1759310400000,2.9195,2.9273,2.9134,2.9268,4336659.0
