timestamp,open,high,low,close,volume
1759276800000,113988.70,114246.00,113988.70,114098.10,1631.600
1759277700000,114098.00,114123.10,113899.40,113960.60,979.333
1759278600000,113960.70,114178.10,113906.40,113913.20,593.524
1759279500000,113913.20,114198.00,113913.20,114181.10,568.675
1759280400000,114181.00,114347.10,114083.30,114283.30,852.327
1759281300000,114283.30,114373.00,114138.50,114315.70,1134.258
1759282200000,114315.70,114440.00,114159.10,114345.40,906.125
1759283100000,114345.40,114498.00,114293.70,114491.60,871.309
1759284000000,114491.60,114494.00,114356.20,114418.20,644.679
1759284900000,114418.20,114439.40,114354.80,114368.20,365.094
1759285800000,114368.20,114387.10,114237.80,114275.30,594.019
1759286700000,114275.40,114330.00,114218.90,114219.00,1014.492
1759287600000,114219.00,114387.80,114139.40,114387.80,1168.703
1759288500000,114387.80,114481.20,114283.50,114416.70,1553.490
1759289400000,114416.70,114480.00,114272.30,114272.40,1235.650
1759290300000,114272.40,114272.40,114038.70,114135.90,1783.813
1759291200000,114135.80,114398.40,114095.20,114284.80,1058.832
1759292100000,114284.80,114553.50,114284.80,114549.90,1213.041
1759293000000,114550.00,114669.00,114450.00,114503.30,1896.985
1759293900000,114503.30,114545.90,114184.40,114227.80,1577.199
1759294800000,114227.80,114700.00,114200.80,114552.50,2206.584
1759295700000,114552.50,114661.30,114471.70,114553.70,1021.322
1759296600000,114553.70,114580.00,114479.20,114511.90,622.626
1759297500000,114512.00,114595.50,114453.70,114511.40,483.422
1759298400000,114511.50,114529.90,114413.80,114503.10,691.087
1759299300000,114503.10,114570.10,114250.00,114330.70,1103.872
1759300200000,114330.70,114491.80,114257.10,114457.30,879.206
1759301100000,114457.30,114457.40,114170.00,114212.80,1115.997
1759302000000,114212.70,114380.40,114184.90,114312.20,501.092
1759302900000,114312.10,114538.60,114306.00,114504.60,784.025
1759303800000,114504.60,114534.30,114386.70,114470.40,542.062
1759304700000,114470.40,114539.10,114432.40,114480.80,580.319
1759305600000,114480.80,114550.00,114425.60,114534.90,817.056
1759306500000,114534.80,115072.10,114500.20,115034.80,6330.913
1759307400000,115034.80,115666.80,115034.80,115586.30,9101.646
1759308300000,115586.30,116599.80,115426.00,116060.50,14539.377
1759309200000,116060.40,116332.90,115890.70,116200.00,4164.904
1759310100000,116199.90,116280.00,116075.70,116193.80,1546.995
1759311000000,116193.70,116500.00,116109.60,116350.60,3511.812
1759311900000,116350.60,116423.60,116288.20,116372.40,1203.543
1759312800000,116372.30,116520.00,116214.40,116217.80,1799.732
1759313700000,116217.40,116365.10,116190.80,116190.80,830.642
