timestamp,open,high,low,close,volume
1759276800000,113988.70,114166.80,113988.70,114166.80,713.415
1759277100000,114166.80,114246.00,114126.30,114187.90,677.590
1759277400000,114187.90,114187.90,114077.40,114098.10,240.595
1759277700000,114098.00,114123.10,114041.40,114097.00,244.706
1759278000000,114097.10,114122.80,113899.70,113931.10,453.366
1759278300000,113931.10,113989.20,113899.40,113960.60,281.261
1759278600000,113960.70,114172.10,113923.70,114160.30,243.273
1759278900000,114160.40,114178.10,114019.00,114043.60,201.597
1759279200000,114043.60,114043.60,113906.40,113913.20,148.654
1759279500000,113913.20,113995.00,113913.20,113975.50,162.617
1759279800000,113975.40,114182.40,113975.40,114176.50,212.895
1759280100000,114176.60,114198.00,114128.50,114181.10,193.163
1759280400000,114181.00,114194.40,114083.30,114193.50,150.103
1759280700000,114193.50,114283.70,114193.40,114242.90,326.586
1759281000000,114242.90,114347.10,114242.80,114283.30,375.638
1759281300000,114283.30,114373.00,114168.00,114203.30,642.952
1759281600000,114203.30,114254.00,114138.50,114253.90,247.505
1759281900000,114253.80,114331.50,114220.40,114315.70,243.801
1759282200000,114315.70,114315.70,114159.10,114166.20,149.507
1759282500000,114166.20,114333.20,114159.10,114333.20,219.404
1759282800000,114333.20,114440.00,114333.20,114345.40,537.214
1759283100000,114345.40,114379.90,114316.30,114358.10,244.934
1759283400000,114358.10,114444.00,114293.70,114443.90,199.857
1759283700000,114444.00,114498.00,114443.90,114491.60,426.518
1759284000000,114491.60,114494.00,114356.20,114465.50,286.949
1759284300000,114465.40,114493.90,114387.30,114416.10,204.962
1759284600000,114416.10,114473.70,114379.20,114418.20,152.768
1759284900000,114418.20,114439.40,114354.80,114393.80,151.607
1759285200000,114393.80,114409.10,114379.70,114399.30,110.063
1759285500000,114399.20,114405.20,114367.50,114368.20,103.424
1759285800000,114368.20,114373.60,114237.80,114369.50,229.503
1759286100000,114369.50,114387.10,114343.00,114379.80,188.763
1759286400000,114379.80,114379.90,114275.30,114275.30,175.753
1759286700000,114275.40,114330.00,114249.30,114312.40,561.288
1759287000000,114312.50,114324.00,114235.80,114295.80,235.543
1759287300000,114295.80,114312.60,114218.90,114219.00,217.661
1759287600000,114219.00,114226.40,114139.40,114185.50,327.307
1759287900000,114185.50,114310.10,114184.10,114303.30,526.655
1759288200000,114303.30,114387.80,114281.60,114387.80,314.741
1759288500000,114387.80,114423.90,114354.50,114407.70,370.645
1759288800000,114407.70,114455.50,114283.50,114411.90,591.161
1759289100000,114412.00,114481.20,114343.20,114416.70,591.684
1759289400000,114416.70,114471.50,114409.00,114460.00,413.012
1759289700000,114460.10,114480.00,114375.50,114375.50,325.678
1759290000000,114375.50,114375.60,114272.30,114272.40,496.960
1759290300000,114272.40,114272.40,114084.40,114084.40,713.526
1759290600000,114084.50,114187.70,114038.70,114117.70,722.172
1759290900000,114117.60,114202.90,114111.50,114135.90,348.115
1759291200000,114135.80,114327.40,114095.20,114249.90,521.325
1759291500000,114249.90,114398.40,114249.90,114302.60,400.924
1759291800000,114302.60,114319.80,114271.20,114284.80,136.583
1759292100000,114284.80,114471.20,114284.80,114459.50,388.964
1759292400000,114459.50,114475.00,114340.00,114399.90,369.581
1759292700000,114400.00,114553.50,114399.90,114549.90,454.496
1759293000000,114550.00,114669.00,114462.80,114462.80,970.894
1759293300000,114462.80,114660.10,114450.00,114491.90,634.371
1759293600000,114491.90,114561.50,114486.00,114503.30,291.720
1759293900000,114503.30,114545.90,114458.20,114528.90,218.797
1759294200000,114528.80,114528.90,114271.70,114288.90,648.299
1759294500000,114289.00,114310.40,114184.40,114227.80,710.103
1759294800000,114227.80,114305.00,114200.80,114253.80,713.288
1759295100000,114253.90,114558.50,114253.80,114529.60,575.268
1759295400000,114529.60,114700.00,114490.60,114552.50,918.028
1759295700000,114552.50,114661.30,114527.90,114661.10,347.533
1759296000000,114661.20,114661.20,114496.10,114503.50,347.995
1759296300000,114503.50,114563.90,114471.70,114553.70,325.794
1759296600000,114553.70,114576.60,114479.20,114573.70,237.653
1759296900000,114573.70,114580.00,114510.20,114547.50,164.810
1759297200000,114547.60,114568.50,114500.00,114511.90,220.163
1759297500000,114512.00,114595.50,114498.90,114584.10,112.398
1759297800000,114584.00,114584.20,114529.60,114559.30,109.389
1759298100000,114559.20,114562.70,114453.70,114511.40,261.635
1759298400000,114511.50,114528.90,114413.80,114454.90,293.459
1759298700000,114454.90,114529.90,114415.10,114459.90,268.207
1759299000000,114460.00,114503.90,114433.70,114503.10,129.421
1759299300000,114503.10,114570.10,114413.70,114418.80,346.148
1759299600000,114418.80,114418.80,114250.00,114378.10,472.624
1759299900000,114378.00,114391.30,114301.00,114330.70,285.100
1759300200000,114330.70,114371.50,114257.10,114320.60,270.867
1759300500000,114320.70,114389.50,114306.40,114389.50,292.322
1759300800000,114389.40,114491.80,114380.00,114457.30,316.017
1759301100000,114457.30,114457.40,114220.00,114296.20,437.975
1759301400000,114296.10,114296.20,114191.40,114191.70,365.637
1759301700000,114191.80,114249.70,114170.00,114212.80,312.385
1759302000000,114212.70,114352.20,114184.90,114328.00,297.743
1759302300000,114328.00,114380.40,114272.30,114288.90,115.858
1759302600000,114288.90,114340.90,114271.60,114312.20,87.491
1759302900000,114312.10,114468.40,114306.00,114423.10,352.922
1759303200000,114423.10,114446.00,114376.80,114415.10,188.116
1759303500000,114415.20,114538.60,114415.10,114504.60,242.987
1759303800000,114504.60,114534.30,114456.70,114492.80,191.265
1759304100000,114492.80,114505.60,114386.70,114390.00,196.871
1759304400000,114390.00,114493.10,114389.90,114470.40,153.926
1759304700000,114470.40,114493.10,114442.70,114457.80,109.363
1759305000000,114457.90,114471.50,114432.40,114467.70,168.547
1759305300000,114467.80,114539.10,114457.90,114480.80,302.409
1759305600000,114480.80,114500.00,114425.60,114485.80,164.525
1759305900000,114485.90,114550.00,114457.40,114465.00,310.568
1759306200000,114465.00,114536.40,114440.00,114534.90,341.963
1759306500000,114534.80,114682.50,114500.20,114682.50,565.107
1759306800000,114682.40,115000.00,114590.00,114608.90,2878.824
1759307100000,114608.80,115072.10,114608.80,115034.80,2886.982
1759307400000,115034.80,115279.70,115034.80,115139.50,3034.323
1759307700000,115139.60,115367.30,115128.90,115311.40,2073.527
1759308000000,115311.30,115666.80,115246.30,115586.30,3993.796
1759308300000,115586.30,116178.00,115426.00,116149.50,5333.651
1759308600000,116149.40,116599.80,115916.20,116044.70,7543.690
1759308900000,116044.70,116154.90,115950.00,116060.50,1662.036
1759309200000,116060.40,116160.00,115890.70,115936.70,1146.715
1759309500000,115936.70,116228.00,115912.30,116180.80,1298.662
1759309800000,116180.90,116332.90,116164.80,116200.00,1719.527
1759310100000,116199.90,116280.00,116143.30,116199.40,592.472
1759310400000,116199.40,116199.60,116075.70,116131.20,519.457
1759310700000,116131.30,116231.80,116130.90,116193.80,435.066
1759311000000,116193.70,116300.00,116109.60,116300.00,551.934
1759311300000,116300.00,116454.00,116250.00,116437.70,1595.966
1759311600000,116437.60,116500.00,116314.00,116350.60,1363.912
1759311900000,116350.60,116398.30,116288.20,116376.20,571.507
1759312200000,116376.20,116387.10,116318.80,116386.30,247.427
1759312500000,116386.20,116423.60,116354.30,116372.40,384.609
1759312800000,116372.30,116520.00,116372.30,116499.90,743.897
1759313100000,116499.90,116500.00,116319.00,116361.10,427.739
1759313400000,116361.10,116361.20,116214.40,116217.80,628.096
1759313700000,116217.40,116365.10,116216.20,116361.10,286.458
1759314000000,116361.20,116361.20,116263.10,116263.10,188.274
1759314300000,116263.10,116293.20,116190.80,116190.80,355.910
1759314600000,116190.30,116258.30,116154.50,116245.70,387.638
1759314900000,116245.80,116299.90,116186.50,116186.50,232.494
1759315200000,116186.50,116238.90,116178.70,116234.20,175.583
1759315500000,116234.30,116328.30,116230.10,116258.30,322.175
1759315800000,116258.30,116276.90,116180.00,116182.50,311.412
1759316100000,116182.60,116253.40,116182.60,116233.60,163.318
1759316400000,116233.50,116334.00,116228.10,116331.50,349.610
1759316700000,116331.50,116388.00,116292.90,116296.70,305.762
1759317000000,116296.80,116365.60,116296.70,116342.60,154.183
1759317300000,116342.70,116375.70,116317.50,116359.90,216.155
1759317600000,116359.90,116372.60,116297.00,116335.20,221.316
1759317900000,116335.20,116335.20,116284.60,116284.70,216.638
