timestamp,open,high,low,close,volume
1759276800000,4142.75,4150.00,4141.40,4143.68,22591.063
1759277700000,4143.67,4144.98,4128.47,4130.61,21982.009
1759278600000,4130.60,4139.36,4122.81,4124.37,24372.890
1759279500000,4124.36,4146.66,4120.61,4146.65,34599.984
1759280400000,4146.65,4155.39,4139.94,4148.96,25809.286
1759281300000,4148.97,4157.81,4141.16,4151.01,26377.145
1759282200000,4151.01,4165.58,4143.92,4162.28,31350.080
1759283100000,4162.29,4172.47,4161.45,4168.68,35604.545
1759284000000,4168.68,4168.93,4158.61,4161.33,27259.117
1759284900000,4161.32,4167.80,4158.78,4164.43,12207.721
1759285800000,4164.44,4165.00,4157.00,4157.24,13920.250
1759286700000,4157.24,4158.60,4150.00,4150.99,27383.597
1759287600000,4151.00,4151.97,4143.40,4148.55,29485.290
1759288500000,4148.56,4149.58,4138.40,4139.52,36472.954
1759289400000,4139.51,4146.99,4134.05,4136.00,22142.788
1759290300000,4136.01,4136.01,4126.05,4126.84,35565.266
1759291200000,4126.84,4145.29,4124.35,4139.83,37171.238
1759292100000,4139.84,4149.13,4139.20,4148.49,20062.361
1759293000000,4148.49,4155.00,4142.62,4144.70,26237.311
1759293900000,4144.71,4149.91,4134.28,4138.47,18734.953
1759294800000,4138.47,4154.95,4137.79,4147.59,21568.230
1759295700000,4147.60,4155.93,4142.00,4146.37,21436.750
1759296600000,4146.37,4151.65,4142.33,4149.32,12266.475
1759297500000,4149.31,4150.84,4142.00,4142.37,12352.255
1759298400000,4142.36,4145.38,4132.46,4139.73,33566.129
1759299300000,4139.72,4144.34,4128.46,4133.51,22404.052
1759300200000,4133.52,4140.80,4130.91,4135.64,14646.933
1759301100000,4135.65,4136.05,4121.33,4124.64,34562.953
1759302000000,4124.65,4133.30,4123.00,4132.22,19977.822
1759302900000,4132.23,4140.00,4131.75,4138.85,16200.295
1759303800000,4138.85,4142.51,4135.60,4140.93,16293.793
1759304700000,4140.93,4146.33,4137.48,4143.99,18175.084
1759305600000,4143.98,4152.62,4141.37,4152.09,27813.028
1759306500000,4152.10,4165.89,4144.87,4164.78,53003.770
1759307400000,4164.77,4274.97,4164.77,4270.65,443639.631
1759308300000,4270.65,4329.00,4267.55,4289.99,537219.571
1759309200000,4289.99,4301.01,4277.76,4284.91,153889.603
1759310100000,4284.91,4292.92,4277.42,4292.89,86470.286
1759311000000,4292.90,4304.87,4288.90,4300.67,68269.830
1759311900000,4300.66,4317.11,4298.05,4308.43,68553.001
1759312800000,4308.44,4310.98,4285.51,4287.76,73617.222
1759313700000,4287.77,4295.30,4286.31,4287.35,27297.412
1759314600000,4287.35,4289.45,4282.00,4286.99,27876.133
1759315500000,4287.00,4289.91,4277.31,4280.40,34112.267
1759316400000,4280.40,4295.28,4280.40,4295.19,37220.856
1759317300000,4295.18,4303.26,4293.78,4296.59,32586.601
1759318200000,4296.60,4300.52,4289.16,4292.03,24369.375
1759319100000,4292.01,4298.06,4290.28,4295.88,19577.891
1759320000000,4295.88,4301.18,4289.24,4295.18,30299.326
1759320900000,4295.18,4312.34,4287.00,4306.58,64576.764
1759321800000,4306.59,4308.00,4286.76,4288.77,37456.014
1759322700000,4288.76,4291.19,4276.23,4282.37,56385.461
1759323600000,4282.37,4296.00,4277.20,4296.00,52968.379
1759324500000,4295.99,4298.00,4290.46,4293.67,23913.711
1759325400000,4293.67,4300.79,4286.57,4291.86,41395.990
1759326300000,4291.85,4301.00,4280.47,4293.58,49170.651
1759327200000,4293.58,4322.11,4289.00,4303.87,109347.427
1759328100000,4303.86,4319.86,4298.87,4313.55,54522.499
1759329000000,4313.54,4337.99,4308.99,4334.03,126698.287
1759329900000,4334.03,4334.98,4313.00,4321.58,81548.605
1759330800000,4321.58,4328.70,4311.67,4318.52,40579.494
1759331700000,4318.52,4343.29,4315.30,4333.21,53018.702
1759332600000,4333.21,4341.72,4323.05,4332.90,51505.839
1759333500000,4332.89,4334.95,4318.15,4325.01,38322.092
1759334400000,4325.01,4334.66,4319.25,4333.25,34427.519
